,Avg. Wages (Annual),Avg. Work Hours (Annual),COU,Confidence in national government,Country,Delivery Quality,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Negative affect,Perceptions of corruption,Population density,Positive affect,Probability of dying at age 5-14,Social support,Standard deviation of ladder,Year,Gini household income
0,52252.97944,1699.94,AUS,0.609752893,Australia,1.815897942,1.154312849,0.932058573,1144260000000.0,72.19999695,7.450047016,10.63258171,0.220073208,0.3661274020000001,2.867858584,0.8342362640000001,1.0,0.95451957,1.737801909,2010,0.412946343
1,50096.71444,1557.0,AUT,0.486446619,Austria,1.670084953,1.291469574,0.8959797620000001,391893000000.0,71.40000153,7.302678585,10.67674351,0.155792549,0.546144843,101.2874302,0.8147191999999999,1.0,0.914193332,1.753247619,2010,0.367440253
2,50872.487,1546.0,BEL,0.33651647,Belgium,1.4451680180000002,1.085666656,0.806930244,483548000000.0,70.80000305,6.853514194,10.62342072,0.240364328,0.697365582,359.8278071000001,0.8282585140000001,1.0,0.930570185,1.603352189,2010,0.393780649
3,45502.56024,1715.0,CAN,0.551076472,Canada,1.838643909,1.14445734,0.933948815,1613460000000.0,72.19999695,7.650346279,10.6139679,0.233112857,0.412659585,3.739510266,0.878867686,1.1,0.953765452,1.749785304,2010,0.710133135
4,24960.82175,2070.0,CHL,0.478705615,Chile,1.385960937,0.887606621,0.7863674759999999,218538000000.0,68.90000153,6.63565588,9.875193596,0.300116688,0.701824725,22.85490508,0.8091729879999999,1.6,0.85695523,2.18349123,2010,0.452481776
5,22944.4926,1800.0,CZE,0.334044516,Czech Republic,0.87146008,1.002025723,0.77911222,207478000000.0,68.09999847,6.249617577,10.25248623,0.244084343,0.925964117,135.6086225,0.641369283,1.1,0.934161127,1.881542683,2010,0.26753065
6,44451.21699,1389.9,DEU,0.395424008,Germany,1.637933135,1.047308922,0.842656434,3417090000000.0,70.90000153,6.724531174,10.60729599,0.182344139,0.688005984,234.6069082,0.793705821,0.9,0.939308643,1.861712337,2010,0.465919226
7,52263.8567,1422.0,DNK,0.586689413,Denmark,2.057426929,1.291459084,0.943630815,321995000000.0,70.40000153,7.770515442000001,10.69190979,0.154562935,0.174896091,130.7490691,0.7848266359999999,0.8,0.974977076,1.5172172780000002,2010,0.434082836
8,41034.3406,1710.4,ESP,0.302731603,Spain,1.107105613,0.402249694,0.7964955570000001,1431620000000.0,72.90000153,6.188262462999999,10.38921356,0.321819484,0.839746296,93.15193096,0.724312365,1.0,0.949940383,1.995815992,2010,0.379620492
9,43535.17087,1592.0,FIN,0.46184361,Finland,2.0583732130000003,1.4551599030000002,0.916009128,247800000000.0,70.40000153,7.393264294,10.59283066,0.202094659,0.4125157,17.64841066,0.832108617,1.0,0.935481369,1.6717381480000002,2010,0.403238714
