Dataset,COU,Country,Year,Description,Value,Unit,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014",GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)"
Avg. Work Hours (Annual),AUS,Australia,2010,Total employment,1699.94,Hours,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078,1144260000000.0,34.7,0.0,2.867858584,1.0
Avg. Wages (Annual),AUS,Australia,2010,In 2018 constant prices at 2018 USD PPPs,52252.979439999996,USD,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078,1144260000000.0,34.7,0.0,2.867858584,1.0
Mortality Causes,AUS,Australia,2010,All causes of death,143473.0,NBPOPUPC,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078,1144260000000.0,34.7,0.0,2.867858584,1.0
Avg. Work Hours (Annual),AUS,Australia,2011,Total employment,1699.92,Hours,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,0.34275,0.43118131200000004,,0.478149384,,0.39449206,,0.461379021,0.518140078,1172310000000.0,0.0,0.0,2.90798641,0.0
Avg. Wages (Annual),AUS,Australia,2011,In 2018 constant prices at 2018 USD PPPs,53905.77401,USD,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,0.34275,0.43118131200000004,,0.478149384,,0.39449206,,0.461379021,0.518140078,1172310000000.0,0.0,0.0,2.90798641,0.0
Mortality Causes,AUS,Australia,2011,All causes of death,146932.0,NBPOPUPC,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,0.34275,0.43118131200000004,,0.478149384,,0.39449206,,0.461379021,0.518140078,1172310000000.0,0.0,0.0,2.90798641,0.0
Avg. Work Hours (Annual),AUS,Australia,2012,Total employment,1692.55,Hours,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,0.34275,0.40605643399999997,,0.478149384,,0.39449206,,0.461379021,0.518140078,1217930000000.0,0.0,0.0,2.95920037,0.0
Avg. Wages (Annual),AUS,Australia,2012,In 2018 constant prices at 2018 USD PPPs,54226.18947999999,USD,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,0.34275,0.40605643399999997,,0.478149384,,0.39449206,,0.461379021,0.518140078,1217930000000.0,0.0,0.0,2.95920037,0.0
Mortality Causes,AUS,Australia,2012,All causes of death,147098.0,NBPOPUPC,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,0.34275,0.40605643399999997,,0.478149384,,0.39449206,,0.461379021,0.518140078,1217930000000.0,0.0,0.0,2.95920037,0.0
Avg. Work Hours (Annual),AUS,Australia,2013,Total employment,1689.38,Hours,7.364169121000001,10.67169762,0.9282051920000001,72.5,0.933379173,0.26027953600000003,0.43153902899999996,0.818835258,0.177142262,0.455871463,1.233743429,1.75117445,1.737719178,0.23596948399999998,0.34275,0.38120749600000003,,0.478149384,,0.39449206,,0.461379021,0.518140078,1250080000000.0,0.0,0.0,3.0105735260000004,0.0
Avg. Wages (Annual),AUS,Australia,2013,In 2018 constant prices at 2018 USD PPPs,53977.41911,USD,7.364169121000001,10.67169762,0.9282051920000001,72.5,0.933379173,0.26027953600000003,0.43153902899999996,0.818835258,0.177142262,0.455871463,1.233743429,1.75117445,1.737719178,0.23596948399999998,0.34275,0.38120749600000003,,0.478149384,,0.39449206,,0.461379021,0.518140078,1250080000000.0,0.0,0.0,3.0105735260000004,0.0
