COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
AUS,Australia,1699.92,53905.77401,297909.0,1172310000000.0,0.0,0.0,2.90798641,0.0,2011
AUT,Austria,1562.0,49578.9147,158032.1,403347000000.0,30.8,0.0,101.6417364,0.0,2011
BEL,Belgium,1560.0,51204.9434,213858.80000000002,492244000000.0,28.1,0.0,364.5397622,0.0,2011
CAN,Canada,1713.0,46203.40255,488392.4,1664150000000.0,0.0,0.0,3.7766253069999998,0.0,2011
CHE,Switzerland,1619.3,62107.93486,128576.7,593665000000.0,31.7,0.0,200.2327615,0.0,2011
CHL,Chile,2047.0,25106.35365,194139.7,231892000000.0,47.6,96.70301056,23.07009823,0.0,2011
CZE,Czech Republic,1806.0,23101.99456,219838.30000000002,211166000000.0,26.4,0.0,135.8892802,0.0,2011
DEU,Germany,1392.8,45209.41817,1710230.2000000002,3542160000000.0,30.5,0.0,230.3046333,0.0,2011
DNK,Denmark,1437.0,51993.258839999995,109832.9,326300000000.0,27.3,0.0,131.2885223,0.0,2011
ESP,Spain,1715.5,40452.8193,780448.3,1417320000000.0,35.7,97.78375244,93.50783588,0.0,2011
EST,Estonia,1852.0,20320.643659999998,37099.299999999996,20971721297.0,32.5,99.88578796,31.31490918,0.0,2011
FIN,Finland,1587.0,43684.94029,106378.0,254170000000.0,27.6,0.0,17.73099477,0.0,2011
FRA,France,1546.0,42370.29756,1077816.9,2700550000000.0,33.3,0.0,119.33511200000001,0.0,2011
GBR,United Kingdom,1518.0,44375.68743,1109396.3,2493240000000.0,33.2,0.0,261.47612119999997,0.0,2011
GRC,Greece,1949.0,29445.28719,227623.0,272022000000.0,34.8,97.36873627,86.1512723,0.0,2011
HUN,Hungary,1769.9,21604.24091,265138.1,133093000000.0,29.2,0.0,110.14831550000001,0.0,2011
IRL,Ireland,1702.0,48764.65687,61208.50000000001,230400000000.0,32.9,0.0,66.484018,0.0,2011
ISL,Iceland,1524.0,48156.17722,7997.300000000001,13941164776.0,26.8,0.0,3.1821845389999996,0.0,2011
ISR,Israel,1947.24,35274.91537,85052.2,245344000000.0,0.0,0.0,358.86321630000003,0.0,2011
ITA,Italy,1773.3,38438.74635,1193474.8,2137310000000.0,35.1,98.84828186,201.8747841,0.0,2011
JPN,Japan,1728.0,41082.06978,2511039.3000000003,5693520000000.0,0.0,0.0,350.65490800000003,0.0,2011
LTU,Lithuania,1621.0,19367.181790000002,89966.7,39363759100.0,32.5,99.81559753,48.31533087,0.0,2011
LUX,Luxembourg,1515.0,61213.34102000001,12087.799999999997,54563666562.0,32.1,0.0,213.3115226,0.0,2011
LVA,Latvia,1753.0,17541.35961,65143.200000000004,25273331011.0,35.8,99.89589691,33.114292600000006,0.0,2011
MEX,Mexico,2121.0,16328.236640000001,1156777.8,1096550000000.0,0.0,93.51998138,61.26187248,0.0,2011
NLD,Netherlands,1420.0,54140.29075,276269.69999999995,859687000000.0,27.7,0.0,495.0496441000001,0.0,2011
NOR,Norway,1421.1,48180.02342,87434.4,433302000000.0,25.3,0.0,13.56103923,0.0,2011
NZL,New Zealand,1746.0,38803.58733,64911.9,150535000000.0,0.0,0.0,16.64957654,0.0,2011
POL,Poland,1829.0,23654.20807,757131.5,503303000000.0,32.8,0.0,124.2962969,0.0,2011
PRT,Portugal,1714.0,26436.50017,211786.9,233950000000.0,36.3,94.47705078,115.2697893,0.0,2011
SVN,Slovenia,1663.2,35340.76447,42708.50000000001,48325391228.0,24.9,0.0,101.8982937,0.0,2011
SWE,Sweden,1491.0,40680.56341,184999.19999999998,502008000000.0,27.6,0.0,23.02776478,0.0,2011
USA,United States,1780.0,59562.474689999995,5035867.600000001,15224600000000.0,0.0,0.0,34.06206439,0.0,2011
