COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality
AUS,Australia,2000,1779.63,45458.50964,128784.0
AUS,Australia,2001,1746.37,45953.29366,128657.0
AUS,Australia,2002,1741.82,46269.56654,133047.0
AUS,Australia,2003,1735.1,46810.84385,131784.0
AUS,Australia,2004,1733.74,48267.38403,132314.0
AUS,Australia,2005,1732.26,48891.305010000004,
AUS,Australia,2006,1721.66,49207.50539,133739.0
AUS,Australia,2007,1722.64,50565.39819,137854.0
AUS,Australia,2008,1720.88,50973.19265,143946.0
AUS,Australia,2009,1692.33,50511.029389999996,140760.0
AUS,Australia,2010,1699.94,52252.979439999996,143473.0
AUS,Australia,2011,1699.92,53905.77401,146932.0
AUS,Australia,2012,1692.55,54226.18947999999,147098.0
AUS,Australia,2013,1689.38,53977.41911,147678.0
AUS,Australia,2014,1683.27,54391.75744,153580.0
AUS,Australia,2015,1683.55,53946.26631,159052.0
AUS,Australia,2016,1673.4,53971.597460000005,158504.0
AUS,Australia,2017,1674.9,53507.28546,
AUS,Australia,2018,1665.04,53349.41362,
AUT,Austria,2000,1681.0,45902.35837,76780.0
AUT,Austria,2001,1669.0,45786.64115,74767.0
AUT,Austria,2002,1666.0,46454.33978,76131.0
AUT,Austria,2003,1658.0,46589.7287,77209.0
AUT,Austria,2004,1660.0,47464.06803,74292.0
AUT,Austria,2005,1638.0,47715.527669999996,75189.0
AUT,Austria,2006,1622.0,48411.60974,74295.0
AUT,Austria,2007,1612.0,48644.575110000005,74625.0
AUT,Austria,2008,1605.0,49509.35566,75083.0
AUT,Austria,2009,1564.0,50312.19378,77381.0
AUT,Austria,2010,1557.0,50096.714439999996,77199.0
AUT,Austria,2011,1562.0,49578.9147,76479.0
AUT,Austria,2012,1540.0,49835.11427,79436.0
AUT,Austria,2013,1525.0,49896.49234,79526.0
AUT,Austria,2014,1516.0,50082.84861,78252.0
AUT,Austria,2015,1500.0,50373.81106,83073.0
AUT,Austria,2016,1512.0,50906.020280000004,80669.0
AUT,Austria,2017,1511.0,50851.39713,83270.0
AUT,Austria,2018,1511.0,50868.24601,
BEL,Belgium,2000,1595.0,49795.676289999996,104825.0
BEL,Belgium,2001,1588.0,50077.95895,102992.0
BEL,Belgium,2002,1583.0,50941.35096,105288.0
BEL,Belgium,2003,1578.0,51156.39012,106209.0
BEL,Belgium,2004,1573.0,50932.23821,101253.0
BEL,Belgium,2005,1565.0,50609.888060000005,102934.0
BEL,Belgium,2006,1572.0,50815.595460000004,100102.0
BEL,Belgium,2007,1577.0,50575.4021,101384.0
BEL,Belgium,2008,1570.0,50725.0265,103759.0
BEL,Belgium,2009,1548.0,51159.32176,103816.0
BEL,Belgium,2010,1546.0,50872.487,105152.0
BEL,Belgium,2011,1560.0,51204.9434,104292.0
BEL,Belgium,2012,1560.0,51550.58104,109076.0
BEL,Belgium,2013,1558.0,52221.578030000004,109334.0
BEL,Belgium,2014,1545.0,52514.32761,104755.0
BEL,Belgium,2015,1545.0,52120.10915,110541.0
BEL,Belgium,2016,1545.0,51951.715,108097.0
BEL,Belgium,2017,1545.0,51736.09972,
BEL,Belgium,2018,1545.0,52079.61531,
CAN,Canada,2000,1787.0,39380.0563,218061.0
CAN,Canada,2001,1774.0,39218.1024,219537.0
CAN,Canada,2002,1755.0,38800.06235,223603.0
CAN,Canada,2003,1745.0,38801.76635,226169.0
CAN,Canada,2004,1755.0,39847.98775,226584.0
CAN,Canada,2005,1745.0,41566.19825,230132.0
CAN,Canada,2006,1744.0,42907.72168,228079.0
CAN,Canada,2007,1744.0,43968.62745,235217.0
CAN,Canada,2008,1741.0,44810.326389999995,238617.0
CAN,Canada,2009,1712.0,45309.040219999995,238418.0
CAN,Canada,2010,1715.0,45502.56024,240075.0
CAN,Canada,2011,1713.0,46203.40255,242074.0
CAN,Canada,2012,1722.0,47275.53082,246596.0
CAN,Canada,2013,1716.0,48191.59919,252338.0
CAN,Canada,2014,1710.0,48717.527760000004,258821.0
CAN,Canada,2015,1712.0,48979.30251,264333.0
CAN,Canada,2016,1706.0,47793.36844,
CAN,Canada,2017,1695.0,48247.09108,
CAN,Canada,2018,1708.0,48848.5225,
CZE,Czech Republic,2000,1896.0,16157.454280000002,109001.0
CZE,Czech Republic,2001,1818.0,16969.629230000002,107755.0
CZE,Czech Republic,2002,1817.0,17996.45612,108243.0
CZE,Czech Republic,2003,1806.0,19356.06246,111288.0
CZE,Czech Republic,2004,1817.0,20309.718269999998,107177.0
CZE,Czech Republic,2005,1817.0,20921.09376,107938.0
CZE,Czech Republic,2006,1799.0,21756.38491,104441.0
CZE,Czech Republic,2007,1784.0,22412.33651,104636.0
CZE,Czech Republic,2008,1790.0,22423.008719999998,104948.0
CZE,Czech Republic,2009,1779.0,22371.6839,107421.0
CZE,Czech Republic,2010,1800.0,22944.4926,106844.0
CZE,Czech Republic,2011,1806.0,23101.99456,106848.0
CZE,Czech Republic,2012,1776.0,23089.6502,108189.0
CZE,Czech Republic,2013,1763.0,22846.099459999998,109160.0
CZE,Czech Republic,2014,1777.0,23324.261319999998,105665.0
CZE,Czech Republic,2015,1756.0,23962.81256,111173.0
CZE,Czech Republic,2016,1779.0,24778.2455,107750.0
CZE,Czech Republic,2017,1784.0,25804.10436,111443.0
CZE,Czech Republic,2018,1792.0,26961.575589999997,
DNK,Denmark,2000,1466.0,44111.26482,57044.0
DNK,Denmark,2001,1469.0,44405.107,57632.0
DNK,Denmark,2002,1463.0,45426.589210000006,58397.0
DNK,Denmark,2003,1458.0,46560.38022,57378.0
DNK,Denmark,2004,1458.0,47604.03443,55637.0
DNK,Denmark,2005,1451.0,48410.90648,54712.0
DNK,Denmark,2006,1456.0,49235.153139999995,55218.0
DNK,Denmark,2007,1433.0,49771.7694,55281.0
DNK,Denmark,2008,1430.0,50445.51988,54265.0
DNK,Denmark,2009,1417.0,51668.57403,54531.0
DNK,Denmark,2010,1422.0,52263.8567,54027.0
DNK,Denmark,2011,1437.0,51993.258839999995,52205.0
DNK,Denmark,2012,1423.0,51923.10356,52011.0
DNK,Denmark,2013,1426.0,52260.70461,52182.0
DNK,Denmark,2014,1414.0,53260.744060000005,50993.0
DNK,Denmark,2015,1407.0,54196.8862,52224.0
DNK,Denmark,2016,1412.0,55032.34644,
DNK,Denmark,2017,1405.0,54722.5035,
DNK,Denmark,2018,1392.0,55253.34202999999,
FIN,Finland,2000,1663.0,37200.20502,49316.0
FIN,Finland,2001,1644.0,37404.32857,48504.0
FIN,Finland,2002,1636.0,37616.42557,49389.0
FIN,Finland,2003,1628.0,38340.93048,49033.0
FIN,Finland,2004,1629.0,39622.98386,47757.0
FIN,Finland,2005,1620.0,40535.79877,47751.0
FIN,Finland,2006,1616.0,41478.69831,48106.0
FIN,Finland,2007,1614.0,42110.68722,49093.0
FIN,Finland,2008,1608.0,42518.640739999995,49090.0
FIN,Finland,2009,1585.0,42861.71618,49904.0
FIN,Finland,2010,1592.0,43535.17087,50910.0
FIN,Finland,2011,1587.0,43684.94029,50568.0
FIN,Finland,2012,1575.0,43715.15615,51737.0
FIN,Finland,2013,1565.0,43245.26697,51478.0
FIN,Finland,2014,1562.0,43229.09351,52409.0
FIN,Finland,2015,1563.0,43617.28448,52302.0
FIN,Finland,2016,1560.0,43968.93163,53964.0
FIN,Finland,2017,1556.0,43801.86904,
FIN,Finland,2018,1555.0,44111.400030000004,
FRA,France,2000,1558.0,37125.70922,530850.0
FRA,France,2001,1538.0,37361.15176,531072.0
FRA,France,2002,1504.0,38370.18031,535140.0
FRA,France,2003,1507.0,38681.16053,552335.0
FRA,France,2004,1531.0,39315.17476,509419.0
FRA,France,2005,1532.0,39792.17341,527516.0
