Dataset,COU,Country,Year,Description,Value,Unit,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Avg. Work Hours (Annual),AUS,Australia,2005,Total employment,1732.26,Hours,7.3406882289999995,10.56947041,0.96789217,71.40000153,0.9349733,,0.39041593700000005,0.842647672,0.23801209,0.532063305,1.200283527,1.757166386,1.527052522,0.208025798,,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Wages (Annual),AUS,Australia,2005,In 2018 constant prices at 2018 USD PPPs,48891.305010000004,USD,7.3406882289999995,10.56947041,0.96789217,71.40000153,0.9349733,,0.39041593700000005,0.842647672,0.23801209,0.532063305,1.200283527,1.757166386,1.527052522,0.208025798,,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Work Hours (Annual),AUS,Australia,2007,Total employment,1722.64,Hours,7.285390854,10.61349678,0.965276182,71.72000122,0.890681982,0.33866369700000004,0.5125784870000001,0.8262509109999999,0.215350643,0.526932836,1.148994923,1.820202231,1.763631463,0.242077813,,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Wages (Annual),AUS,Australia,2007,In 2018 constant prices at 2018 USD PPPs,50565.39819,USD,7.285390854,10.61349678,0.965276182,71.72000122,0.890681982,0.33866369700000004,0.5125784870000001,0.8262509109999999,0.215350643,0.526932836,1.148994923,1.820202231,1.763631463,0.242077813,,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Mortality Causes,AUS,Australia,2007,All causes of death,137854.0,NBPOPUPC,7.285390854,10.61349678,0.965276182,71.72000122,0.890681982,0.33866369700000004,0.5125784870000001,0.8262509109999999,0.215350643,0.526932836,1.148994923,1.820202231,1.763631463,0.242077813,,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Work Hours (Annual),AUS,Australia,2008,Total employment,1720.88,Hours,7.253757477000001,10.62938118,0.946635187,71.87999725,0.915733337,0.29685354199999997,0.430810511,0.826390505,0.218427315,0.6446754339999999,1.161860466,1.8433054690000001,1.688850999,0.23282429600000001,0.354,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Wages (Annual),AUS,Australia,2008,In 2018 constant prices at 2018 USD PPPs,50973.19265,USD,7.253757477000001,10.62938118,0.946635187,71.87999725,0.915733337,0.29685354199999997,0.430810511,0.826390505,0.218427315,0.6446754339999999,1.161860466,1.8433054690000001,1.688850999,0.23282429600000001,0.354,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Mortality Causes,AUS,Australia,2008,All causes of death,143946.0,NBPOPUPC,7.253757477000001,10.62938118,0.946635187,71.87999725,0.915733337,0.29685354199999997,0.430810511,0.826390505,0.218427315,0.6446754339999999,1.161860466,1.8433054690000001,1.688850999,0.23282429600000001,0.354,0.34275,,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Work Hours (Annual),AUS,Australia,2010,Total employment,1699.94,Hours,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34700000000000003,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Wages (Annual),AUS,Australia,2010,In 2018 constant prices at 2018 USD PPPs,52252.979439999996,USD,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34700000000000003,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078
Mortality Causes,AUS,Australia,2010,All causes of death,143473.0,NBPOPUPC,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.34700000000000003,0.34275,0.412946343,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Work Hours (Annual),AUS,Australia,2011,Total employment,1699.92,Hours,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,,0.34275,0.43118131200000004,,0.478149384,,0.39449206,,0.461379021,0.518140078
Avg. Wages (Annual),AUS,Australia,2011,In 2018 constant prices at 2018 USD PPPs,53905.77401,USD,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,,0.34275,0.43118131200000004,,0.478149384,,0.39449206,,0.461379021,0.518140078
