COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual)
AUS,Australia,2010,1699.94,52252.979439999996
AUS,Australia,2011,1699.92,53905.77401
AUS,Australia,2012,1692.55,54226.18947999999
AUS,Australia,2013,1689.38,53977.41911
AUS,Australia,2014,1683.27,54391.75744
AUS,Australia,2015,1683.55,53946.26631
AUS,Australia,2016,1673.4,53971.597460000005
AUS,Australia,2017,1674.9,53507.28546
AUT,Austria,2010,1557.0,50096.714439999996
AUT,Austria,2011,1562.0,49578.9147
AUT,Austria,2012,1540.0,49835.11427
AUT,Austria,2013,1525.0,49896.49234
AUT,Austria,2014,1516.0,50082.84861
AUT,Austria,2015,1500.0,50373.81106
AUT,Austria,2016,1512.0,50906.020280000004
AUT,Austria,2017,1511.0,50851.39713
BEL,Belgium,2010,1546.0,50872.487
BEL,Belgium,2011,1560.0,51204.9434
BEL,Belgium,2012,1560.0,51550.58104
BEL,Belgium,2013,1558.0,52221.578030000004
BEL,Belgium,2014,1545.0,52514.32761
BEL,Belgium,2015,1545.0,52120.10915
BEL,Belgium,2016,1545.0,51951.715
BEL,Belgium,2017,1545.0,51736.09972
CAN,Canada,2010,1715.0,45502.56024
CAN,Canada,2011,1713.0,46203.40255
CAN,Canada,2012,1722.0,47275.53082
CAN,Canada,2013,1716.0,48191.59919
CAN,Canada,2014,1710.0,48717.527760000004
CAN,Canada,2015,1712.0,48979.30251
CAN,Canada,2016,1706.0,47793.36844
CAN,Canada,2017,1695.0,48247.09108
CZE,Czech Republic,2010,1800.0,22944.4926
CZE,Czech Republic,2011,1806.0,23101.99456
CZE,Czech Republic,2012,1776.0,23089.6502
CZE,Czech Republic,2013,1763.0,22846.099459999998
CZE,Czech Republic,2014,1777.0,23324.261319999998
CZE,Czech Republic,2015,1756.0,23962.81256
CZE,Czech Republic,2016,1779.0,24778.2455
CZE,Czech Republic,2017,1784.0,25804.10436
DNK,Denmark,2010,1422.0,52263.8567
DNK,Denmark,2011,1437.0,51993.258839999995
DNK,Denmark,2012,1423.0,51923.10356
DNK,Denmark,2013,1426.0,52260.70461
DNK,Denmark,2014,1414.0,53260.744060000005
DNK,Denmark,2015,1407.0,54196.8862
DNK,Denmark,2016,1412.0,55032.34644
DNK,Denmark,2017,1405.0,54722.5035
FIN,Finland,2010,1592.0,43535.17087
FIN,Finland,2011,1587.0,43684.94029
FIN,Finland,2012,1575.0,43715.15615
FIN,Finland,2013,1565.0,43245.26697
FIN,Finland,2014,1562.0,43229.09351
FIN,Finland,2015,1563.0,43617.28448
FIN,Finland,2016,1560.0,43968.93163
FIN,Finland,2017,1556.0,43801.86904
FRA,France,2010,1540.0,42435.38246
FRA,France,2011,1546.0,42370.29756
FRA,France,2012,1541.0,42654.36826
FRA,France,2013,1526.0,43012.54154
FRA,France,2014,1518.0,43308.84587
FRA,France,2015,1519.0,43731.65687
FRA,France,2016,1526.0,44220.25463
FRA,France,2017,1522.0,44469.020580000004
DEU,Germany,2010,1389.9,44451.21699
DEU,Germany,2011,1392.8,45209.41817
DEU,Germany,2012,1375.0,45725.15818
DEU,Germany,2013,1362.7,46277.16566
DEU,Germany,2014,1366.9,47010.04711
DEU,Germany,2015,1369.8,48034.59454
DEU,Germany,2016,1362.8,48709.63953
DEU,Germany,2017,1360.4,49161.09391
GRC,Greece,2010,1932.0,31510.05117
GRC,Greece,2011,1949.0,29445.28719
GRC,Greece,2012,1966.0,28108.0392
GRC,Greece,2013,1970.0,26289.756230000003
GRC,Greece,2014,1933.0,26803.24237
GRC,Greece,2015,1943.0,26585.0661
GRC,Greece,2016,1942.0,26506.09185
GRC,Greece,2017,1956.0,26486.310019999997
HUN,Hungary,2010,1777.0,21617.7991
HUN,Hungary,2011,1769.9,21604.24091
HUN,Hungary,2012,1750.0,20852.274080000003
HUN,Hungary,2013,1744.6,20893.44423
HUN,Hungary,2014,1751.7,20707.45771
HUN,Hungary,2015,1748.7,20150.148240000002
HUN,Hungary,2016,1760.0,21077.55692
HUN,Hungary,2017,1741.3,22492.67745
ISL,Iceland,2010,1514.0,45951.92989
ISL,Iceland,2011,1524.0,48156.17722
ISL,Iceland,2012,1510.0,48049.69794
ISL,Iceland,2013,1510.0,48858.15059
ISL,Iceland,2014,1503.0,49471.50415
ISL,Iceland,2015,1504.0,53261.71745
ISL,Iceland,2016,1494.0,58131.149529999995
ISL,Iceland,2017,1483.0,64415.10845
IRL,Ireland,2010,1702.0,48697.70833
IRL,Ireland,2011,1702.0,48764.65687
