COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
ABW,Aruba,2390502793.0,0.0,96.82263947,564.8277778,0.0,2010
AFG,Afghanistan,15856574731.0,0.0,0.0,44.11844346,11.5,2010
AGO,Angola,83799496612.0,0.0,0.0,18.74479105,23.3,2010
ALB,Albania,11926957255.0,0.0,0.0,106.31463500000001,2.8,2010
AND,Andorra,3355695364.0,0.0,0.0,179.67872340000002,1.0,2010
ARG,Argentina,423627000000.0,43.0,98.95497131,15.06341201,2.6,2010
ARM,Armenia,9260284938.0,30.0,0.0,101.0646646,2.0,2010
ASM,American Samoa,576000000.0,0.0,0.0,278.185,0.0,2010
ATG,Antigua and Barbuda,1152469069.0,0.0,0.0,215.1386364,2.0,2010
AUS,Australia,1144260000000.0,34.7,0.0,2.867858584,1.0,2010
AUT,Austria,391893000000.0,30.3,0.0,101.2874302,1.0,2010
AZE,Azerbaijan,52902703376.0,0.0,99.77114105,109.54234939999999,3.3,2010
BDI,Burundi,2032135247.0,0.0,0.0,341.39135510000006,29.3,2010
BEL,Belgium,483548000000.0,28.4,0.0,359.82780710000003,1.0,2010
BEN,Benin,6970240895.0,0.0,0.0,81.58264455,26.6,2010
BFA,Burkina Faso,8979966766.0,0.0,0.0,57.03661184,30.2,2010
BGD,Bangladesh,115279000000.0,32.1,0.0,1168.8492130000002,9.5,2010
BGR,Bulgaria,50610058210.0,35.7,0.0,68.12453021,2.4,2010
BHR,Bahrain,25713271277.0,0.0,94.55679321,1628.4278869999998,2.2,2010
BIH,Bosnia and Herzegovina,17176781337.0,0.0,0.0,72.69695313,1.2,2010
BLR,Belarus,58665088956.0,28.6,0.0,46.77468211,2.0,2010
BLZ,Belize,1396731700.0,0.0,0.0,14.09943007,3.5,2010
BMU,Bermuda,5744414000.0,0.0,0.0,1205.999979,0.0,2010
BOL,Bolivia,19649724655.0,0.0,0.0,9.155582017999999,7.3,2010
BRA,Brazil,2208870000000.0,0.0,90.37918091,23.54546215,2.9,2010
BRB,Barbados,4529900000.0,0.0,0.0,650.1604651,2.3,2010
BTN,Bhutan,1585472534.0,0.0,0.0,19.08967152,9.5,2010
BWA,Botswana,12786654366.0,0.0,0.0,3.555248531,7.6,2010
CAF,Central African Republic,1986015906.0,0.0,36.75260925,7.1407188029999995,19.1,2010
CAN,Canada,1613460000000.0,33.6,0.0,3.7395102660000004,1.1,2010
CHE,Switzerland,583783000000.0,32.6,0.0,198.018747,0.9,2010
CHI,Channel Islands,0.0,0.0,0.0,805.9646775,0.0,2010
CHL,Chile,218538000000.0,0.0,0.0,22.85490508,1.6,2010
CHN,China,6100620000000.0,43.7,95.1244812,142.4877396,2.9,2010
CMR,Cameroon,26143818510.0,0.0,71.29051208,42.24682152,31.4,2010
COL,Colombia,286104000000.0,54.7,93.37232971,41.38629743,3.4,2010
COM,Comoros,907093130.3,0.0,0.0,370.6028895,8.7,2010
CPV,Cabo Verde,1664310770.0,0.0,0.0,124.6610422,3.0,2010
CRI,Costa Rica,37268635287.0,48.2,0.0,89.01840971,1.9,2010
CUB,Cuba,64328000000.0,0.0,0.0,106.4736095,1.9,2010
CYM,Cayman Islands,0.0,0.0,0.0,231.2791667,0.0,2010
CYP,Cyprus,25562264901.0,31.5,0.0,120.41201299999999,1.2,2010
CZE,Czech Republic,207478000000.0,26.6,0.0,135.6086225,1.1,2010
DEU,Germany,3417090000000.0,30.2,0.0,234.6069082,0.9,2010
DJI,Djibouti,1128611700.0,0.0,0.0,36.71898188,2.9,2010
DMA,Dominica,493824407.4,0.0,0.0,95.25333333,3.4,2010
DNK,Denmark,321995000000.0,27.2,0.0,130.74906909999999,0.8,2010
DOM,Dominican Republic,53982886258.0,47.3,89.53872681,204.8848065,3.8,2010
DZA,Algeria,161207000000.0,0.0,0.0,15.16439116,4.3,2010
ECU,Ecuador,69555367000.0,48.7,91.85404205,60.13323402,4.0,2010
ERI,Eritrea,2117039512.0,0.0,0.0,43.47366337,15.1,2010
ESP,Spain,1431620000000.0,35.2,97.74890137,93.15193096,1.0,2010
EST,Estonia,19490936349.0,32.0,0.0,31.41012031,1.7,2010
ETH,Ethiopia,29933790334.0,33.2,0.0,87.70267,23.0,2010
FIN,Finland,247800000000.0,27.7,0.0,17.64841066,1.0,2010
FJI,Fiji,3140508836.0,0.0,0.0,47.06896552,5.3,2010
FRA,France,2642610000000.0,33.7,0.0,118.75934,0.9,2010
FRO,Faroe Islands,2301168187.0,0.0,0.0,34.77793544,0.0,2010
GAB,Gabon,14358584300.0,0.0,0.0,6.365545077,17.0,2010
GBR,United Kingdom,2452900000000.0,34.4,0.0,259.44018930000004,1.0,2010
GEO,Georgia,11638536862.0,39.5,0.0,68.686798,2.7,2010
GHA,Ghana,32174772956.0,0.0,71.49707031,107.72657120000001,15.0,2010
GIB,Gibraltar,0.0,0.0,0.0,3318.9,0.0,2010
GIN,Guinea,6853467936.0,0.0,25.30773926,43.92874003,27.0,2010
