,Avg. Wages (Annual),Avg. Work Hours (Annual),Confidence in national government,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Perceptions of corruption,Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Social support,"gini of household income reported in Gallup, by wp5-year"
0,52252,1699,0,1,0,1144260000000,72,7,10,0,2,1,0,0
1,50096,1557,0,1,0,391893000000,71,7,10,0,101,1,0,0
2,50872,1546,0,1,0,483548000000,70,6,10,0,359,1,0,0
3,45502,1715,0,1,0,1613460000000,72,7,10,0,3,1,0,0
4,24960,2070,0,0,0,218538000000,68,6,9,0,22,1,0,0
5,22944,1800,0,1,0,207478000000,68,6,10,0,135,1,0,0
6,44451,1389,0,1,0,3417090000000,70,6,10,0,234,0,0,0
7,52263,1422,0,1,0,321995000000,70,7,10,0,130,0,0,0
8,41034,1710,0,0,0,1431620000000,72,6,10,0,93,1,0,0
9,43535,1592,0,1,0,247800000000,70,7,10,0,17,1,0,0
10,42435,1540,0,0,0,2642610000000,72,6,10,0,118,0,0,0
11,45526,1506,0,0,0,2452900000000,71,7,10,0,259,1,0,0
12,31510,1932,0,0,0,299362000000,71,5,10,0,86,1,0,0
13,21617,1777,0,0,0,130923000000,65,4,10,0,110,1,0,0
14,48697,1702,0,1,0,222134000000,71,7,10,0,66,1,0,0
15,34997,1956,0,0,0,233731000000,72,7,10,0,352,1,0,0
16,39051,1777,0,0,0,2125060000000,72,6,10,0,201,0,0,0
17,40175,1733,0,0,0,5700100000000,73,6,10,0,351,0,0,0
18,18835,1643,0,0,0,37120517694,64,5,9,0,49,2,0,0
19,62131,1517,0,1,0,53212476812,71,7,11,0,208,0,0,0
20,16183,2150,0,0,0,1057800000000,66,6,9,0,60,2,0,0
21,54477,1420,0,1,0,846555000000,71,7,10,0,492,0,0,0
22,38802,1755,0,1,0,146584000000,72,7,10,0,16,1,0,0
23,23652,1834,0,1,0,479258000000,67,5,9,0,124,1,0,0
24,27080,1735,0,0,0,238303000000,70,5,10,0,115,1,0,0
25,35473,1680,0,0,0,48013606745,69,6,10,0,101,1,0,0
26,40175,1494,0,1,0,488909000000,71,7,10,0,22,0,0,0
27,59476,1773,0,0,0,14992100000000,68,7,10,0,33,1,0,0
28,53905,1699,0,1,0,1172310000000,72,7,10,0,2,0,0,0
29,49578,1562,0,1,0,403347000000,71,7,10,0,101,0,0,0
30,51204,1560,0,1,0,492244000000,70,7,10,0,364,0,0,0
31,46203,1713,0,1,0,1664150000000,72,7,10,0,3,0,0,0
32,25106,2047,0,0,0,231892000000,69,6,9,0,23,0,0,0
33,23101,1806,0,1,0,211166000000,68,6,10,0,135,0,0,0
34,45209,1392,0,1,0,3542160000000,70,6,10,0,230,0,0,0
35,51993,1437,0,1,0,326300000000,70,7,10,0,131,0,0,0
36,40452,1715,0,0,0,1417320000000,73,6,10,0,93,0,0,0
37,20320,1852,0,0,0,20971721297,66,5,10,0,31,0,0,0
38,43684,1587,0,1,0,254170000000,70,7,10,0,17,0,0,0
39,42370,1546,0,0,0,2700550000000,72,6,10,0,119,0,0,0
40,44375,1518,0,0,0,2493240000000,71,6,10,0,261,0,0,0
41,29445,1949,0,0,0,272022000000,71,5,10,0,86,0,0,0
42,21604,1769,0,0,0,133093000000,65,4,10,0,110,0,0,0
43,48764,1702,0,1,0,230400000000,71,7,10,0,66,0,0,0
44,35274,1947,0,0,0,245344000000,72,7,10,0,358,0,0,0
